vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
scalus-jit,future-increase-margin-2,99112,99112,99112,99112,0,1
chrysalis,future-increase-margin-3,533978,534633,531551,535750,2175,3
chrysalis-aot,future-increase-margin-3,547393,548927,537463,555790,9259,3
scalus-cek,future-increase-margin-3,411276,411276,411276,411276,0,1
scalus-jit,future-increase-margin-3,112727,112727,112727,112727,0,1
chrysalis,future-increase-margin-4,617735,616204,614498,622503,4216,3
chrysalis-aot,future-increase-margin-4,617160,617250,615937,618293,1180,3
scalus-cek,future-increase-margin-4,362416,362416,362416,362416,0,1
scalus-jit,future-increase-margin-4,614189,614189,614189,614189,0,1
chrysalis,future-increase-margin-5,959434,955158,952707,970438,9608,3
chrysalis-aot,future-increase-margin-5,927434,926674,926508,929120,1462,3
scalus-cek,future-increase-margin-5,635380,635380,635380,635380,0,1
scalus-jit,future-increase-margin-5,1225467,1225467,1225467,1225467,0,1
chrysalis,future-pay-out-1,289680,290220,288191,290628,1305,3
chrysalis-aot,future-pay-out-1,290351,288700,287995,294358,3487,3
scalus-cek,future-pay-out-1,175666,175666,175666,175666,0,1
scalus-jit,future-pay-out-1,32030,32030,32030,32030,0,1
chrysalis,future-pay-out-2,563301,550204,538634,601066,33212,3
chrysalis-aot,future-pay-out-2,540186,539682,539326,541550,1194,3
scalus-cek,future-pay-out-2,391563,391563,391563,391563,0,1
scalus-jit,future-pay-out-2,114930,114930,114930,114930,0,1
chrysalis,future-pay-out-3,538638,538619,538237,539059,411,3
chrysalis-aot,future-pay-out-3,542757,539881,539012,549378,5750,3
scalus-cek,future-pay-out-3,391017,391017,391017,391017,0,1
scalus-jit,future-pay-out-3,97647,97647,97647,97647,0,1
chrysalis,future-pay-out-4,944589,946160,940706,946900,3382,3
chrysalis-aot,future-pay-out-4,968038,946543,936703,1020867,46015,3
scalus-cek,future-pay-out-4,623845,623845,623845,623845,0,1
scalus-jit,future-pay-out-4,1356070,1356070,1356070,1356070,0,1
chrysalis,future-settle-early-1,283998,284006,283904,284084,90,3
chrysalis-aot,future-settle-early-1,284143,284165,283437,284827,695,3
scalus-cek,future-settle-early-1,182006,182006,182006,182006,0,1
scalus-jit,future-settle-early-1,27512,27512,27512,27512,0,1
chrysalis,future-settle-early-2,548954,544786,537476,564599,14033,3
chrysalis-aot,future-settle-early-2,549611,549188,543009,556636,6823,3
scalus-cek,future-settle-early-2,388291,388291,388291,388291,0,1
scalus-jit,future-settle-early-2,105010,105010,105010,105010,0,1
chrysalis,future-settle-early-3,545914,545641,545233,546868,851,3
chrysalis-aot,future-settle-early-3,530073,530347,527685,532186,2263,3
scalus-cek,future-settle-early-3,388498,388498,388498,388498,0,1
scalus-jit,future-settle-early-3,93959,93959,93959,93959,0,1
chrysalis,future-settle-early-4,738262,738087,737232,739467,1128,3
chrysalis-aot,future-settle-early-4,730303,727615,725852,737441,6244,3
scalus-cek,future-settle-early-4,476152,476152,476152,476152,0,1
scalus-jit,future-settle-early-4,1164254,1164254,1164254,1164254,0,1
chrysalis,game-sm-success_1-1,480427,472683,471692,496905,14279,3
chrysalis-aot,game-sm-success_1-1,463803,463343,463256,464811,874,3
scalus-cek,game-sm-success_1-1,274514,274514,274514,274514,0,1
scalus-jit,game-sm-success_1-1,407086,407086,407086,407086,0,1
chrysalis,game-sm-success_1-2,204097,203487,202849,205954,1639,3
chrysalis-aot,game-sm-success_1-2,202707,202458,201336,204327,1510,3
scalus-cek,game-sm-success_1-2,135263,135263,135263,135263,0,1
scalus-jit,game-sm-success_1-2,31626,31626,31626,31626,0,1
chrysalis,game-sm-success_1-3,702625,697836,696328,713711,9630,3
chrysalis-aot,game-sm-success_1-3,702999,703376,695689,709932,7129,3
scalus-cek,game-sm-success_1-3,479313,479313,479313,479313,0,1
scalus-jit,game-sm-success_1-3,525665,525665,525665,525665,0,1
chrysalis,game-sm-success_1-4,231705,230920,229620,234575,2569,3
chrysalis-aot,game-sm-success_1-4,227596,228599,224170,230018,3050,3
scalus-cek,game-sm-success_1-4,155790,155790,155790,155790,0,1
scalus-jit,game-sm-success_1-4,36134,36134,36134,36134,0,1
chrysalis,game-sm-success_2-1,480652,480076,474391,487490,6568,3
chrysalis-aot,game-sm-success_2-1,456882,455880,455639,459127,1947,3
scalus-cek,game-sm-success_2-1,273537,273537,273537,273537,0,1
scalus-jit,game-sm-success_2-1,431620,431620,431620,431620,0,1
chrysalis,game-sm-success_2-2,204237,203856,203355,205499,1121,3
chrysalis-aot,game-sm-success_2-2,198298,198319,197982,198592,305,3
scalus-cek,game-sm-success_2-2,137189,137189,137189,137189,0,1
scalus-jit,game-sm-success_2-2,32435,32435,32435,32435,0,1
chrysalis,game-sm-success_2-3,717340,717690,696964,737366,20203,3
chrysalis-aot,game-sm-success_2-3,710575,718785,692660,720280,15532,3
scalus-cek,game-sm-success_2-3,464178,464178,464178,464178,0,1
scalus-jit,game-sm-success_2-3,557037,557037,557037,557037,0,1
chrysalis,game-sm-success_2-4,228088,228155,227557,228551,500,3
chrysalis-aot,game-sm-success_2-4,225951,227042,222186,228626,3355,3
scalus-cek,game-sm-success_2-4,155382,155382,155382,155382,0,1
scalus-jit,game-sm-success_2-4,36651,36651,36651,36651,0,1
chrysalis,game-sm-success_2-5,726097,727313,722581,728398,3093,3
chrysalis-aot,game-sm-success_2-5,688397,688510,687980,688702,373,3
scalus-cek,game-sm-success_2-5,492073,492073,492073,492073,0,1
scalus-jit,game-sm-success_2-5,564589,564589,564589,564589,0,1
chrysalis,game-sm-success_2-6,229687,230288,228244,230529,1255,3
chrysalis-aot,game-sm-success_2-6,226875,226349,223264,231013,3900,3
scalus-cek,game-sm-success_2-6,157657,157657,157657,157657,0,1
scalus-jit,game-sm-success_2-6,36994,36994,36994,36994,0,1
chrysalis,guardrail-sorted-large,404078,404065,402866,405303,1218,3
chrysalis-aot,guardrail-sorted-large,422004,423181,419129,423702,2503,3
chrysalis,guardrail-sorted-small,102829,101100,97101,110286,6760,3
chrysalis-aot,guardrail-sorted-small,97828,96933,96868,99683,1606,3
chrysalis,guardrail-unsorted-large,544696,544911,542462,546715,2134,3
chrysalis-aot,guardrail-unsorted-large,579189,581103,567783,588682,10580,3
chrysalis,guardrail-unsorted-small,97389,97516,96188,98463,1143,3
chrysalis-aot,guardrail-unsorted-small,97502,97563,97350,97593,132,3
chrysalis,multisig-sm-01,508724,506216,499764,520191,10441,3
chrysalis-aot,multisig-sm-01,492432,492672,491769,492854,580,3
scalus-cek,multisig-sm-01,281131,281131,281131,281131,0,1
scalus-jit,multisig-sm-01,502241,502241,502241,502241,0,1
chrysalis,multisig-sm-02,492601,491763,487917,498123,5154,3
chrysalis-aot,multisig-sm-02,481048,480122,479981,483042,1728,3
scalus-cek,multisig-sm-02,279115,279115,279115,279115,0,1
scalus-jit,multisig-sm-02,539761,539761,539761,539761,0,1
chrysalis,multisig-sm-03,501486,500662,499243,504554,2750,3
chrysalis-aot,multisig-sm-03,484533,483753,483348,486499,1714,3
scalus-cek,multisig-sm-03,300956,300956,300956,300956,0,1
scalus-jit,multisig-sm-03,559206,559206,559206,559206,0,1
chrysalis,multisig-sm-04,518911,513795,512858,530081,9684,3
chrysalis-aot,multisig-sm-04,502793,503063,502137,503180,571,3
scalus-cek,multisig-sm-04,290443,290443,290443,290443,0,1
scalus-jit,multisig-sm-04,512918,512918,512918,512918,0,1
chrysalis,multisig-sm-05,680627,683219,673617,685046,6139,3
chrysalis-aot,multisig-sm-05,648213,644300,643428,656910,7544,3
scalus-cek,multisig-sm-05,414284,414284,414284,414284,0,1
scalus-jit,multisig-sm-05,756370,756370,756370,756370,0,1
chrysalis,multisig-sm-06,532157,535021,516454,544997,14485,3
chrysalis-aot,multisig-sm-06,493102,493104,492881,493321,219,3
scalus-cek,multisig-sm-06,283941,283941,283941,283941,0,1
scalus-jit,multisig-sm-06,530583,530583,530583,530583,0,1
chrysalis,multisig-sm-07,511519,512867,502224,519467,8699,3
chrysalis-aot,multisig-sm-07,491502,491946,486723,495838,4573,3
scalus-cek,multisig-sm-07,280497,280497,280497,280497,0,1
scalus-jit,multisig-sm-07,552520,552520,552520,552520,0,1
chrysalis,multisig-sm-08,495632,495821,495189,495886,385,3
chrysalis-aot,multisig-sm-08,492882,493895,487410,497342,5042,3
scalus-cek,multisig-sm-08,285875,285875,285875,285875,0,1
scalus-jit,multisig-sm-08,549467,549467,549467,549467,0,1
chrysalis,multisig-sm-09,503115,502947,502936,503462,300,3
chrysalis-aot,multisig-sm-09,497127,495438,488921,507020,9166,3
scalus-cek,multisig-sm-09,287877,287877,287877,287877,0,1
scalus-jit,multisig-sm-09,505650,505650,505650,505650,0,1
chrysalis,multisig-sm-10,663767,664558,658225,668519,5192,3
chrysalis-aot,multisig-sm-10,647386,648405,644920,648834,2146,3
scalus-cek,multisig-sm-10,410142,410142,410142,410142,0,1
scalus-jit,multisig-sm-10,723888,723888,723888,723888,0,1
chrysalis,ping-pong-1,413333,412980,412318,414701,1230,3
chrysalis-aot,ping-pong-1,417878,418028,415325,420283,2482,3
scalus-cek,ping-pong-1,253175,253175,253175,253175,0,1
scalus-jit,ping-pong-1,231535,231535,231535,231535,0,1
chrysalis,ping-pong-2,431615,431875,425352,437619,6137,3
chrysalis-aot,ping-pong-2,415823,415801,413495,418174,2340,3
scalus-cek,ping-pong-2,243641,243641,243641,243641,0,1
scalus-jit,ping-pong-2,223277,223277,223277,223277,0,1
chrysalis,ping-pong_2-1,314868,310907,306919,326779,10506,3
chrysalis-aot,ping-pong_2-1,288689,288770,288237,289061,417,3
scalus-cek,ping-pong_2-1,146921,146921,146921,146921,0,1
scalus-jit,ping-pong_2-1,85341,85341,85341,85341,0,1
chrysalis,prism-1,176486,176557,176227,176675,232,3
chrysalis-aot,prism-1,170964,170928,170735,171228,248,3
scalus-cek,prism-1,112219,112219,112219,112219,0,1
scalus-jit,prism-1,13368,13368,13368,13368,0,1
chrysalis,prism-2,490943,491317,490149,491364,688,3
chrysalis-aot,prism-2,489381,488036,482711,497395,7433,3
scalus-cek,prism-2,287331,287331,287331,287331,0,1
scalus-jit,prism-2,405458,405458,405458,405458,0,1
chrysalis,prism-3,376949,377004,376620,377223,305,3
chrysalis-aot,prism-3,385828,380979,380506,395998,8810,3
scalus-cek,prism-3,268527,268527,268527,268527,0,1
scalus-jit,prism-3,68351,68351,68351,68351,0,1
chrysalis,pubkey-1,158650,158685,158323,158943,311,3
chrysalis-aot,pubkey-1,157854,155132,152813,165616,6821,3
scalus-cek,pubkey-1,104080,104080,104080,104080,0,1
scalus-jit,pubkey-1,11767,11767,11767,11767,0,1
chrysalis,stablecoin_1-1,1112502,1098196,1089722,1149589,32396,3
chrysalis-aot,stablecoin_1-1,1090870,1088089,1084993,1099529,7656,3
scalus-cek,stablecoin_1-1,707205,707205,707205,707205,0,1
chrysalis,stablecoin_1-2,206979,207219,205148,208570,1723,3
chrysalis-aot,stablecoin_1-2,200572,200567,199246,201903,1328,3
scalus-cek,stablecoin_1-2,132279,132279,132279,132279,0,1
scalus-jit,stablecoin_1-2,31577,31577,31577,31577,0,1
chrysalis,stablecoin_1-3,1239810,1240061,1233952,1245417,5736,3
chrysalis-aot,stablecoin_1-3,1222778,1225173,1208262,1234898,13478,3
scalus-cek,stablecoin_1-3,796449,796449,796449,796449,0,1
chrysalis,stablecoin_1-4,213510,212174,208665,219692,5633,3
chrysalis-aot,stablecoin_1-4,209536,206713,206571,215324,5012,3
scalus-cek,stablecoin_1-4,141547,141547,141547,141547,0,1
scalus-jit,stablecoin_1-4,34050,34050,34050,34050,0,1
chrysalis,stablecoin_1-5,1554032,1570194,1520687,1571214,28881,3
chrysalis-aot,stablecoin_1-5,1512355,1509692,1504985,1522387,9001,3
scalus-cek,stablecoin_1-5,1005905,1005905,1005905,1005905,0,1
chrysalis,stablecoin_1-6,248259,245966,244035,254775,5725,3
chrysalis-aot,stablecoin_1-6,247643,247726,246434,248769,1169,3
scalus-cek,stablecoin_1-6,170896,170896,170896,170896,0,1
scalus-jit,stablecoin_1-6,41079,41079,41079,41079,0,1
chrysalis,stablecoin_2-1,1111471,1105902,1103987,1124523,11343,3
chrysalis-aot,stablecoin_2-1,1106367,1102810,1101686,1114604,7155,3
scalus-cek,stablecoin_2-1,697397,697397,697397,697397,0,1
chrysalis,stablecoin_2-2,197097,197051,196698,197541,423,3
chrysalis-aot,stablecoin_2-2,198889,198900,198796,198971,87,3
scalus-cek,stablecoin_2-2,134062,134062,134062,134062,0,1
scalus-jit,stablecoin_2-2,32368,32368,32368,32368,0,1
chrysalis,stablecoin_2-3,1215446,1218029,1205142,1223167,9285,3
chrysalis-aot,stablecoin_2-3,1221974,1210660,1209234,1246027,20842,3
scalus-cek,stablecoin_2-3,790754,790754,790754,790754,0,1
chrysalis,stablecoin_2-4,213127,213108,211341,214933,1796,3
chrysalis-aot,stablecoin_2-4,207654,207645,207376,207941,282,3
scalus-cek,stablecoin_2-4,139624,139624,139624,139624,0,1
scalus-jit,stablecoin_2-4,32822,32822,32822,32822,0,1
chrysalis,token-account-1,237988,236154,234476,243335,4705,3
chrysalis-aot,token-account-1,233366,232381,227185,240533,6728,3
scalus-cek,token-account-1,134517,134517,134517,134517,0,1
scalus-jit,token-account-1,23061,23061,23061,23061,0,1
chrysalis,token-account-2,348528,350217,343731,351636,4214,3
chrysalis-aot,token-account-2,344611,344658,344313,344863,278,3
scalus-cek,token-account-2,242302,242302,242302,242302,0,1
scalus-jit,token-account-2,40112,40112,40112,40112,0,1
chrysalis,uniswap-1,434971,431363,430542,443008,6972,3
chrysalis-aot,uniswap-1,441399,441766,439507,442923,1737,3
scalus-cek,uniswap-1,319008,319008,319008,319008,0,1
scalus-jit,uniswap-1,43091,43091,43091,43091,0,1
chrysalis,uniswap-2,258941,259279,258088,259455,743,3
chrysalis-aot,uniswap-2,257423,257361,256650,258259,806,3
scalus-cek,uniswap-2,157250,157250,157250,157250,0,1
